Entry,Plot region
IDRBS-001,1
IDRBS-002,1
IDRBS-003,2
IDRBS-004,3
IDRBS-005,2
IDRBS-006,2
IDRBS-007,1
IDRBS-008,3
IDRBS-009,1
IDRBS-010,2
IDRBS-011,3
IDRBS-012,3
IDRBS-013,1
IDRBS-014,2
IDRBS-015,2
IDRBS-016,3
IDRBS-017,2
IDRBS-018,3
IDRBS-019,3
IDRBS-020,3
IDRBS-021,1
IDRBS-022,3
IDRBS-023,2
IDRBS-024,2
IDRBS-025,2
IDRBS-026,1
IDRBS-027,1
IDRBS-028,1
IDRBS-029,2
IDRBS-030,3
IDRBS-031,2
IDRBS-032,3
IDRBS-033,2
IDRBS-034,1
IDRBS-035,2
IDRBS-036,1
IDRBS-037,2
IDRBS-038,1
IDRBS-039,1
IDRBS-040,2
IDRBS-041,1
IDRBS-042,3
IDRBS-043,3
IDRBS-044,3
IDRBS-045,3
IDRBS-046,3
IDRBS-047,2
IDRBS-048,3
IDRBS-049,2
IDRBS-050,3
IDRBS-051,3
IDRBS-052,3
IDRBS-053,1
IDRBS-054,2
IDRBS-055,2
IDRBS-056,2
IDRBS-057,2
IDRBS-058,2
IDRBS-059,4
IDRBS-060,3
IDRBS-061,3
IDRBS-062,1
IDRBS-063,2
IDRBS-064,2
IDRBS-065,1
IDRBS-066,2
IDRBS-067,1
IDRBS-068,3
IDRBS-069,3
IDRBS-070,2
IDRBS-071,3
IDRBS-072,3
IDRBS-073,3
IDRBS-074,3
IDRBS-075,3
IDRBS-076,5
IDRBS-077,3
IDRBS-078,3
IDRBS-079,2
IDRBS-080,3
IDRBS-081,3
IDRBS-082,3
IDRBS-083,3
IDRBS-084,1
IDRBS-085,1
IDRBS-086,3
IDRBS-087,3
IDRBS-088,1
IDRBS-089,1
IDRBS-090,1
IDRBS-091,1
IDRBS-092,3
IDRBS-093,2
IDRBS-094,1
IDRBS-095,3
IDRBS-096,2
IDRBS-097,3
IDRBS-098,2
IDRBS-099,3
IDRBS-100,2
IDRBS-101,3
IDRBS-102,3
IDRBS-103,2
IDRBS-104,3
IDRBS-105,4
IDRBS-106,2
IDRBS-107,2
IDRBS-108,3
IDRBS-109,3
IDRBS-110,2
IDRBS-111,2
IDRBS-112,1
IDRBS-113,1
IDRBS-114,2
IDRBS-115,3
IDRBS-116,1
IDRBS-117,3
IDRBS-118,2
IDRBS-119,1
IDRBS-120,3
IDRBS-121,3
IDRBS-122,1
IDRBS-123,1
IDRBS-124,2
IDRBS-125,2
IDRBS-126,1
IDRBS-127,1
IDRBS-128,3
IDRBS-129,3
IDRBS-130,3
IDRBS-131,3
IDRBS-132,2
IDRBS-133,1
IDRBS-134,3
IDRBS-135,1
IDRBS-136,3
IDRBS-137,3
IDRBS-138,3
IDRBS-139,2
IDRBS-140,3
IDRBS-141,3
IDRBS-142,3
IDRBS-143,2
IDRBS-144,2
IDRBS-145,3
IDRBS-146,3
IDRBS-147,3
IDRBS-148,3
IDRBS-149,3
IDRBS-150,2
IDRBS-151,2
IDRBS-152,2
IDRBS-153,1
IDRBS-154,1
IDRBS-155,2
IDRBS-156,2
IDRBS-157,2
IDRBS-158,1
IDRBS-159,1
IDRBS-160,3
IDRBS-161,1
IDRBS-162,2
IDRBS-163,3
IDRBS-164,2
IDRBS-165,3
IDRBS-166,2
IDRBS-167,3
IDRBS-168,2
IDRBS-169,1
IDRBS-170,2
IDRBS-171,1
IDRBS-172,2
IDRBS-173,3
IDRBS-174,2
IDRBS-175,1
IDRBS-176,3
IDRBS-177,1
IDRBS-178,1
IDRBS-179,3
IDRBS-180,1
IDRBS-181,1
IDRBS-182,1
IDRBS-183,1
IDRBS-184,1
IDRBS-185,1
IDRBS-186,2
IDRBS-187,1
IDRBS-188,1
IDRBS-189,1
IDRBS-190,1
IDRBS-191,1
IDRBS-192,1
IDRBS-193,1
IDRBS-194,1
IDRBS-195,1
IDRBS-196,1
IDRBS-197,1
IDRBS-198,1
IDRBS-199,1
IDRBS-200,1
