construct,delta_200,sd_200,delta_400,sd_400,delta_600,sd_600,delta_800,sd_800,delta_1000,sd_1000,delta_1500,sd_1500
IDRBS-001,0.10009984,0.0577814190949079,0.250276125777778,0.049873910735005,0.438063436111111,0.0533248909386746,0.563039474222222,0.0784635270060258,0.576783561777778,0.11793391200979,0.605561037555556,0.0797752240994846
IDRBS-002,0.0507540746666667,0.0616068081178762,0.122012913111111,0.0600308488202588,0.205943305666667,0.0546976951325224,0.287278399111111,0.0672063631213861,0.312191470555556,0.106749695333415,0.240426682666667,0.0722655202257068
IDRBS-003,-0.0224829575555556,0.104931533714698,-0.0608952812222222,0.127536384561678,-0.0519779206666667,0.0975559524837555,-0.0282046985555556,0.061995870294863,-0.0210669301111111,0.124303575515576,-0.0436181424444445,0.100732761190802
IDRBS-004,0.00529839799999999,0.145940178401737,0.04834549,0.0772860324721665,0.0360023874444445,0.0718034938111563,0.0746370343333333,0.160320072000651,0.0467210696666667,0.0987717844402195,-0.0102835844444444,0.151875648320337
IDRBS-005,0.0632469294444444,0.042091592222122,0.127771556444444,0.072098970103087,0.207052563555556,0.0477740226741807,0.316215588111111,0.0667285575490587,0.367455412444444,0.0891372644825831,0.240274721555556,0.154891678309095
IDRBS-006,0.0603189536666667,0.0582904098709612,0.0978381346666667,0.0672010417266262,0.146581265777778,0.0626355270099796,0.148127733777778,0.0623890082315933,0.222670328222222,0.0512600731852516,0.255306583111111,0.0676315999495037
IDRBS-007,0.00113719177777777,0.160729417722154,0.0374501782222222,0.128338657240202,0.117498533555556,0.0952770279295947,0.0237740536666667,0.152300278079418,0.129572753777778,0.131773116192796,0.0561156635555556,0.120546661494201
IDRBS-008,0.0973677473333334,0.0185742687112805,0.266042145555556,0.0373859541817683,0.460306233444444,0.0332381482789987,0.60378886,0.0586761095231383,0.690546814111111,0.0700681833604086,0.715143953888889,0.0844769145423666
IDRBS-009,0.0674486516666667,0.0568432102740253,0.363999437,0.0625027326264522,0.570753159777778,0.0493948256272084,0.679453981444444,0.0668509431315426,0.705276758,0.0583138910744215,0.736213422666667,0.0631943379896614
IDRBS-010,0.0613445733333333,0.0396512821232648,0.109924520111111,0.0719730274915332,0.276925392111111,0.071115406505392,0.465544979,0.043043633071211,0.514512176222222,0.0682237334729455,0.548550004222222,0.0869808622754138
IDRBS-011,0.0300161887777778,0.0444256054697298,0.0910434986666667,0.0501768244691803,0.140671438333333,0.0493230417231954,0.157002010111111,0.0368653043661801,0.227581347777778,0.0630676475593358,0.250938801888889,0.0532430420241867
IDRBS-012,0.104698272777778,0.0575242730547166,0.207160229555556,0.0803105276401588,0.390567481888889,0.0563079009577634,0.494596159,0.0391651820877058,0.531367706111111,0.0576914113949777,0.495988541555556,0.0819714550907889
IDRBS-013,0.0259595932222222,0.0516429617474545,0.185453623111111,0.057882817796157,0.421071628777778,0.0777250938730697,0.525265262555556,0.134698387169305,0.646403224444444,0.141495036520617,0.602148633,0.0916323913251836
IDRBS-014,0.0936147456666667,0.0284369176533015,0.189294222333333,0.0512023181899479,0.308988609,0.083871100357537,0.453403909444444,0.0465474016120935,0.524018354222222,0.0684063565608857,0.629790315222222,0.051148265951899
IDRBS-015,0.0196853446666666,0.0518262460948597,0.127789272,0.0797340095604713,0.163175629222222,0.0651805933971107,0.294394523888889,0.0880459542000104,0.328416642111111,0.0667475848322838,0.376287763333333,0.0667143045204148
IDRBS-016,0.100806635111111,0.207127206218027,0.101390983111111,0.234366412754561,0.034799274,0.27127012080208,0.019933943,0.30674710265072,0.0138375903333334,0.311140424394319,-0.00942920299999999,0.26792478112794
IDRBS-017,-0.0278669206666666,0.065207929351883,0.0236297705555556,0.107252406940802,0.0276713396666667,0.0825804659208433,0.0889976344444445,0.0791450031675572,0.138441489555556,0.0713687239671899,0.109615530111111,0.0711783753912617
IDRBS-018,0.0262238728888889,0.0588329980028008,0.0656726713333333,0.0382173537682185,0.135374028222222,0.0712305776113817,0.197028344777778,0.0933261262408841,0.234711995333333,0.10384266262304,0.318385727666667,0.120561556639294
IDRBS-019,0.0508421166666666,0.0429125464363435,0.148103912333333,0.0362933714568416,0.219517010888889,0.044212220355036,0.275780601666667,0.0924939332482897,0.342056205444444,0.0819432336086547,0.334213279333333,0.105629854453852
IDRBS-020,0.0607004236666666,0.0777344221103161,0.0894069593333334,0.0859902073067978,0.215883772777778,0.0640340739555689,0.280269634,0.11034913542721,0.321163143111111,0.109111796299918,0.400519500444444,0.105167137959196
IDRBS-021,-0.000732490888888925,0.0649030967519281,0.0248062101111111,0.0902325060167303,0.103718067777778,0.0893700890131262,0.306810608888889,0.0603707089098415,0.370047065222222,0.090761075968129,0.382613239777778,0.0669827408642528
IDRBS-022,0.026199554,0.0439072404648221,0.121923179666667,0.0532502974631616,0.183294514333333,0.068235714983456,0.294567321444444,0.0928713095591303,0.331893270888889,0.103422875115235,0.364213212333333,0.11222153692984
IDRBS-023,0.125489832555556,0.0280114811119168,0.425768345444444,0.0529700124319347,0.682126395666667,0.0719854173985418,0.963465409555555,0.0667139222952723,0.997092136888889,0.0886533307256017,0.918800899555556,0.0704219083895268
IDRBS-024,0.0705703196666666,0.0327398102932989,0.246068669111111,0.0792053908171542,0.444191524444444,0.0791313932804619,0.520869723111111,0.0681045363373748,0.616256701,0.0731268920135477,0.578011696,0.0737742267537428
IDRBS-025,0.0964988538888889,0.0579925909601159,0.200622215222222,0.060742087133121,0.332006115666667,0.0388721736205429,0.480079810111111,0.070432325926235,0.592684368555556,0.0525698443254302,0.638355903333333,0.0400082603418291
IDRBS-026,0.0566523885555555,0.0576345417765488,0.166355524777778,0.0522858735874092,0.382485822111111,0.0949764950856908,0.549365885111111,0.0603025648771257,0.684342535444444,0.0770012875789978,0.714338917666667,0.103070552421105
IDRBS-027,0.0227793477777778,0.0665771521806706,0.126275022777778,0.0531091390976483,0.195220928111111,0.0598047208348982,0.230861333555556,0.0583839294485671,0.228561725333333,0.0330741911983495,0.260225522888889,0.0506104422038154
