Wavelength [nm],Condition_5,Condition_6,Condition_7,Condition_8,Replicate,Plate,Construct
460,0.50616161474871,0.43509352402807,0.424932371505861,0.482180959154643,Replica 3,2,005
461,0.579569456295198,0.513221442484724,0.492800383228133,0.567402458849827,Replica 3,2,005
462,0.656600131485082,0.572044187101422,0.561922339945897,0.622282056492583,Replica 3,2,005
463,0.735253388538417,0.626477572911386,0.621477682596934,0.707160638081691,Replica 3,2,005
464,0.788504846763928,0.688635696560557,0.691191388638413,0.77477900833164,Replica 3,2,005
465,0.895315494258019,0.759105584758652,0.743096257889991,0.854132798211746,Replica 3,2,005
466,0.910897875257025,0.838460922699256,0.799932371505861,0.913889453363138,Replica 3,2,005
467,1.01881355695122,0.920564612962617,0.878649120829576,1.00109225767121,Replica 3,2,005
468,1.07875117147613,0.923086159511167,0.947137060414788,1.05907081893924,Replica 3,2,005
469,1.1750989635059,1.02344104384022,1.00340960324617,1.10159266409266,Replica 3,2,005
470,1.1757424011414,1.06989620300451,1.01985178088368,1.14852164194269,Replica 3,2,005
471,1.25186387097677,1.09401766416736,1.07067177637511,1.19059896362528,Replica 3,2,005
472,1.2783707040047,1.10414387490994,1.08277445897205,1.19258026823816,Replica 3,2,005
473,1.30451385489083,1.14599621100942,1.10109050946799,1.21097083926031,Replica 3,2,005
474,1.31980249262145,1.16005816901033,1.1278742110009,1.26200213371266,Replica 3,2,005
475,1.32899246058944,1.13306828187955,1.15532010820559,1.25285765088397,Replica 3,2,005
476,1.32930019163251,1.15649598420364,1.13436936429216,1.24621520016257,Replica 3,2,005
477,1.28032899246059,1.15702964484884,1.122238503156,1.22823105059947,Replica 3,2,005
478,1.27175448657873,1.11329615497505,1.10513412984671,1.21305374923796,Replica 3,2,005
479,1.25088472674882,1.09552525549003,1.07247520288548,1.1861156269051,Replica 3,2,005
480,1.21948217258116,1.08198361661819,1.05253888638413,1.17773318431213,Replica 3,2,005
481,1.2150900113301,1.05232542626144,1.05229936880072,1.13262040235724,Replica 3,2,005
482,1.15575387111664,0.993409291031833,1.01676623083859,1.09535663483032,Replica 3,2,005
483,1.13688436306668,0.996451156709448,0.99016568981064,1.09144482828693,Replica 3,2,005
484,1.12969464687863,0.97138244790138,0.964734558160505,1.02992277992278,Replica 3,2,005
485,1.10446070134702,0.941283987512341,0.961310865644725,1.02927504572241,Replica 3,2,005
486,1.08126897091942,0.943125116738266,0.910871280432822,1.00680755943914,Replica 3,2,005
487,1.05596508651439,0.910785281639406,0.895866208295762,0.998018695387116,Replica 3,2,005
488,1.02989187450169,0.900965925767804,0.928032010820559,1.00488975817923,Replica 3,2,005
489,1.02140129526794,0.88527630279905,0.871336789900812,0.98722312538102,Replica 3,2,005
490,1.02842315815977,0.914814419510633,0.898684062218215,0.972109327372485,Replica 3,2,005
491,1.05021611111888,0.8902526883155,0.849188458070334,0.973404795773217,Replica 3,2,005
492,1.03067518988404,0.895389172025509,0.872661181244364,0.959611867506604,Replica 3,2,005
493,1.02695444181785,0.916522133575259,0.902784039675383,0.972109327372485,Replica 3,2,005
494,1.0452784266551,0.898684526509592,0.869674256086564,0.975602011786222,Replica 3,2,005
495,1.03515127778322,0.900712436961336,0.878198264201984,0.978154846575899,Replica 3,2,005
496,1.02559762767341,0.903233983509886,0.921283250676285,0.973798516561675,Replica 3,2,005
497,1.0562308542334,0.915321397123569,0.927581154192966,1.00462304409673,Replica 3,2,005
498,1.07251262396665,0.938388878512154,0.911378494138864,0.983882849014428,Replica 3,2,005
499,1.04273265166245,0.926261440350081,0.916154756537421,1.00919528551108,Replica 3,2,005
500,1.06577051656852,0.91277316754276,0.940825067628494,1.01172271895956,Replica 3,2,005
501,1.0980822760907,0.977386130159831,0.926439923354373,1.00593121316806,Replica 3,2,005
502,1.06565861437104,0.960922699255543,0.92025473399459,1.02933854907539,Replica 3,2,005
503,1.08287756500818,0.95133014915815,0.914675383228133,1.05355872790083,Replica 3,2,005
504,1.07319802492621,0.954225258158337,0.91428088367899,1.0343045112782,Replica 3,2,005
505,1.07476465569093,0.931197801318142,0.917211451758341,1.01245935785409,Replica 3,2,005
506,1.05006224559735,0.952317421351762,0.911491208295762,1.02110851452957,Replica 3,2,005
507,1.0255137010253,0.929770259092243,0.927313458070334,1.00784901442796,Replica 3,2,005
508,1.02494020226322,0.925087386930651,0.951532912533814,1.02937665108718,Replica 3,2,005
509,1.05197857072918,0.949328921738666,0.939796550946799,1.02569345661451,Replica 3,2,005
510,1.01488299226476,0.952197347706593,0.928215171325518,1.01172271895956,Replica 3,2,005
511,1.0496426123568,0.974677802385463,0.919155770964833,1.0226833976834,Replica 3,2,005
512,1.00481179449161,0.972476452224031,0.951392019837692,1.01999085551717,Replica 3,2,005
513,1.00069938873425,0.966499452997839,1.00462128043282,1.01891129851656,Replica 3,2,005
514,0.991775188485264,0.96512527683646,0.986319319206492,1.03544757163178,Replica 3,2,005
515,1,1,1,1,Replica 3,2,005
516,0.983382523674309,0.996717987032046,1.00008453561767,1.04395702093071,Replica 3,2,005
517,1.00632247415759,1.0111134829362,1.01046832732191,1.05186953871164,Replica 3,2,005
518,0.968177812591795,1.04414707687382,1.04781898106402,1.05880410485674,Replica 3,2,005
519,0.966751059573932,1.05495370493903,1.05232754733995,1.06145854501118,Replica 3,2,005
520,0.993733476941153,1.054540117939,1.08301397655546,1.10516155252997,Replica 3,2,005
521,0.969087017946315,1.06854870987539,1.09293282236249,1.0829607803292,Replica 3,2,005
522,0.9868235162468,1.10761266910372,1.1153488503156,1.10293893517578,Replica 3,2,005
523,0.980598956512009,1.11887290871735,1.15437612714157,1.12863239179029,Replica 3,2,005
524,0.979843616679023,1.07718067081143,1.15846201532913,1.13033428165007,Replica 3,2,005
525,0.986683638499951,1.11763214771727,1.13596145175834,1.11001320869742,Replica 3,2,005
526,0.947294064987201,1.09204311978013,1.17315712353472,1.10739687055477,Replica 3,2,005
527,0.954399854527143,1.09572537823198,1.17269217763751,1.10151646006909,Replica 3,2,005
528,0.926857926172525,1.0683752701657,1.13942741208296,1.07879496037391,Replica 3,2,005
529,0.88478269992027,1.06302532219761,1.12414055455365,1.06742786019102,Replica 3,2,005
530,0.884684785497475,1.02751020625984,1.08366208295762,1.03907996342207,Replica 3,2,005
531,0.885454113105146,1.02609600555007,1.04567741208296,1.00157488315383,Replica 3,2,005
532,0.872795177015289,0.990740987805854,1.01852738954013,0.952334383255436,Replica 3,2,005
