Treatment,DxAm,DxDm,DxAm/DxDm,Mean,Normalized,Replicate,Construct,Plate
0,32649,32024,1.01951661254059,1.0732740574658,0.949912657860999,1,126,1
0,33452,29815,1.12198557772933,1.0732740574658,1.04538591045287,1,126,1
0,33787,31333,1.07831998212747,1.0732740574658,1.00470143168613,1,126,1
200,34909,31527,1.10727313096711,1.0732740574658,1.03167790487882,1,126,1
200,36754,32102,1.14491308952713,1.0732740574658,1.06674812603827,1,126,1
200,38037,31250,1.217184,1.0732740574658,1.13408499118482,1,126,1
400,39474,32649,1.20904162455205,1.0732740574658,1.12649850813205,1,126,1
400,38236,33020,1.15796486977589,1.0732740574658,1.07890884133552,1,126,1
400,36009,32978,1.0919097580205,1.0732740574658,1.01736341284416,1,126,1
600,40271,30907,1.30297343643835,1.0732740574658,1.21401745190312,1,126,1
600,40766,30638,1.33056988054051,1.0732740574658,1.23972984466077,1,126,1
600,41377,30139,1.37287235807426,1.0732740574658,1.2791442675097,1,126,1
0,33512,32209,1.04045453134217,1.0726702995562,0.969966756581817,1,126,2
0,31812,29403,1.08193041526375,1.0726702995562,1.00863276974424,1,126,2
0,35243,32167,1.09562595206267,1.0726702995562,1.02140047367395,1,126,2
800,40028,27932,1.43305169697838,1.0726702995562,1.33596660369107,1,126,2
800,41213,28372,1.45259410686592,1.0726702995562,1.35418507202718,1,126,2
800,43083,30503,1.4124184506442,1.0726702995562,1.31673119991163,1,126,2
1000,43232,27431,1.57602712259852,1.0726702995562,1.46925585918672,1,126,2
1000,43237,30669,1.40979490690926,1.0726702995562,1.31428539365035,1,126,2
1000,42142,30123,1.3989974438137,1.0726702995562,1.30421942734176,1,126,2
1500,45244,30916,1.46344934661664,1.0726702995562,1.36430490079022,1,126,2
1500,39672,28166,1.40850671021799,1.0726702995562,1.31308446854615,1,126,2
1500,42339,30881,1.37103720734432,1.0726702995562,1.27815341574347,1,126,2
0,30982,29517,1.04963241521835,1.0466641431346,1.00283593557993,2,126,1
0,30808,29674,1.03821527262924,1.0466641431346,0.991927811265174,2,126,1
0,32304,30703,1.0521447415562,1.0466641431346,1.0052362531549,2,126,1
200,33252,30092,1.10501129868404,1.0466641431346,1.05574582441957,2,126,1
200,34779,31649,1.0988972795349,1.0466641431346,1.04990439076653,2,126,1
200,35540,31569,1.12578795653964,1.0466641431346,1.07559618233227,2,126,1
400,40279,32266,1.24834190789066,1.0466641431346,1.19268622707574,2,126,1
400,38608,32056,1.20439231345146,1.0466641431346,1.15069606745531,2,126,1
400,37596,31605,1.18955861414333,1.0466641431346,1.13652370910576,2,126,1
600,39463,30675,1.28648736756316,1.0466641431346,1.22913102163826,2,126,1
600,39858,31162,1.27905782684038,1.0466641431346,1.22203271720937,2,126,1
600,40304,31683,1.27210175804059,1.0466641431346,1.21538677558098,2,126,1
0,34407,32421,1.06125659294901,1.05713986165394,1.00389421631366,2,126,2
0,36532,35640,1.02502805836139,1.05713986165394,0.969623883785532,2,126,2
0,36390,33535,1.08513493365141,1.05713986165394,1.0264818999008,2,126,2
800,43160,31293,1.37922219026619,1.05713986165394,1.304673336325,2,126,2
800,42901,33186,1.29274392816248,1.05713986165394,1.22286934307815,2,126,2
800,43858,31952,1.37262143214822,1.05713986165394,1.29842935825038,2,126,2
1000,45777,32361,1.41457309724669,1.05713986165394,1.33811347822371,2,126,2
1000,46592,33327,1.39802562486873,1.05713986165394,1.32246041945808,2,126,2
1000,45277,31839,1.42206099437796,1.05713986165394,1.34519664422936,2,126,2
1500,51632,34577,1.49324695606906,1.05713986165394,1.41253490690704,2,126,2
1500,47111,32375,1.45516602316602,1.05713986165394,1.37651230073697,2,126,2
1500,47680,33681,1.41563492770405,1.05713986165394,1.33911791528628,2,126,2
0,31629,26833,1.17873513956695,1.18013038757806,0.998817717071098,3,126,1
0,33060,28234,1.17092866756393,1.18013038757806,0.992202793766698,3,126,1
0,36572,30714,1.19072735560331,1.18013038757806,1.0089794891622,3,126,1
200,38763,30636,1.26527614571093,1.18013038757806,1.07214944978038,3,126,1
200,36994,31472,1.17545754956787,1.18013038757806,0.996040405315057,3,126,1
200,38621,31250,1.235872,1.18013038757806,1.0472334353972,3,126,1
400,38429,29272,1.31282454222465,1.18013038757806,1.11244024901258,3,126,1
400,38636,29114,1.32705914680223,1.18013038757806,1.12450214041662,3,126,1
400,38903,28443,1.36775304995957,1.18013038757806,1.15898468877372,3,126,1
600,40888,29448,1.38848139092638,1.18013038757806,1.1765491385879,3,126,1
600,38709,27573,1.4038733543684,1.18013038757806,1.18959173422313,3,126,1
600,39202,26838,1.46069006632387,1.18013038757806,1.23773617025623,3,126,1
0,34705,27933,1.24243726058784,1.23249243759734,1.00806887140815,3,126,2
0,36566,29015,1.26024470101672,1.23249243759734,1.02251718758898,3,126,2
0,37832,31664,1.19479535118747,1.23249243759734,0.969413941002868,3,126,2
800,47730,29465,1.61988800271509,1.23249243759734,1.3143188171385,3,126,2
800,51943,31715,1.6378054548321,1.23249243759734,1.32885639284318,3,126,2
800,48805,30757,1.586793250317,1.23249243759734,1.2874669262964,3,126,2
1000,45740,28208,1.62152580828134,1.23249243759734,1.31564767362175,3,126,2
1000,50138,28188,1.77870015609479,1.23249243759734,1.44317328190853,3,126,2
1000,49077,28728,1.70833333333333,1.23249243759734,1.38608017479086,3,126,2
1500,49862,29766,1.67513270174024,1.23249243759734,1.35914237738107,3,126,2
1500,52940,31572,1.67680222982389,1.23249243759734,1.36049697237308,3,126,2
1500,49836,28870,1.72622099064773,1.23249243759734,1.40059357606517,3,126,2
