Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
0,73216,39451,1.855871841,1.852668601,1.001728987,1,1,1
0,64493,34946,1.845504493,1.852668601,0.996133087,1,1,1
0,68712,37009,1.856629469,1.852668601,1.002137926,1,1,1
200,68547,32113,2.134556099,1.852668601,1.152152143,1,1,1
200,67333,33313,2.021222946,1.852668601,1.090979221,1,1,1
200,67424,31817,2.11911871,1.852668601,1.143819628,1,1,1
400,70571,31438,2.244767479,1.852668601,1.211640052,1,1,1
400,72661,30529,2.380064856,1.852668601,1.284668427,1,1,1
400,72289,29964,2.412528367,1.852668601,1.302190994,1,1,1
600,78450,29516,2.657880472,1.852668601,1.434622722,1,1,1
600,75498,30002,2.516432238,1.852668601,1.358274349,1,1,1
600,81996,30200,2.715099338,1.852668601,1.465507289,1,1,1
0,68709,38002,1.808036419,1.845908836,0.979483051,1,1,2
0,66321,37546,1.766393224,1.845908836,0.956923327,1,1,2
0,64243,32722,1.963296864,1.845908836,1.063593622,1,1,2
800,80419,27728,2.900281304,1.845908836,1.571194226,1,1,2
800,75718,26395,2.868649365,1.845908836,1.554057985,1,1,2
800,81204,28809,2.818702489,1.845908836,1.526999835,1,1,2
1000,84046,28846,2.913610206,1.845908836,1.578415006,1,1,2
1000,78840,27470,2.870040044,1.845908836,1.554811369,1,1,2
1000,80559,25674,3.137765833,1.845908836,1.699848753,1,1,2
1500,82391,28106,2.931438127,1.845908836,1.588073078,1,1,2
1500,91430,31703,2.8839542,1.845908836,1.562349204,1,1,2
1500,89131,29965,2.974503588,1.845908836,1.611403299,1,1,2
0,64868,38190,1.698559832,1.804699544,0.941187046,2,1,1
0,68238,37661,1.811900905,1.804699544,1.003990338,2,1,1
0,65567,34443,1.903637894,1.804699544,1.054822616,2,1,1
200,66233,35390,1.871517378,1.804699544,1.037024353,2,1,1
200,63654,32112,1.982249626,1.804699544,1.098382073,2,1,1
200,68175,35890,1.899554193,1.804699544,1.052559801,2,1,1
400,66417,30361,2.187576167,1.804699544,1.212155327,2,1,1
400,72845,31675,2.29976322,1.804699544,1.274319167,2,1,1
400,76412,35417,2.157494988,1.804699544,1.19548708,2,1,1
600,82610,32923,2.509188106,1.804699544,1.390363351,2,1,1
600,72322,27711,2.609866118,1.804699544,1.446149929,2,1,1
600,81646,30885,2.643548648,1.804699544,1.464813718,2,1,1
0,71854,40228,1.786168838,1.774594251,1.006522385,2,1,2
0,72842,39807,1.829879167,1.774594251,1.031153553,2,1,2
0,65618,38424,1.707734749,1.774594251,0.962324062,2,1,2
800,87899,30527,2.879385462,1.774594251,1.622559895,2,1,2
800,91571,30552,2.997217858,1.774594251,1.688959522,2,1,2
800,76925,27112,2.837304515,1.774594251,1.598846898,2,1,2
1000,84125,27957,3.009085381,1.774594251,1.695646979,2,1,2
1000,85457,32533,2.626778963,1.774594251,1.480213835,2,1,2
1000,95108,34836,2.730164198,1.774594251,1.538472356,2,1,2
1500,100589,33453,3.006875318,1.774594251,1.694401588,2,1,2
1500,97340,33883,2.872827081,1.774594251,1.618864188,2,1,2
1500,83102,27927,2.975686612,1.774594251,1.676826469,2,1,2
0,53638,34718,1.544962267,1.574407085,0.981297837,3,1,1
