Treatment,DxAm,DxDm,DxAm.DxDm,Mean,Normalized,Replicate,Construct,Plate
0,73216,39451,1.85587184101797,1.85266860072381,1.00172898719874,1,1,1
0,64493,34946,1.8455044926458,1.85266860072381,0.996133087118109,1,1,1
0,68712,37009,1.85662946850766,1.85266860072381,1.00213792568315,1,1,1
200,68547,32113,2.1345560987762,1.85266860072381,1.15215214309902,1,1,1
200,67333,33313,2.02122294599706,1.85266860072381,1.09097922057264,1,1,1
200,67424,31817,2.11911871012352,1.85266860072381,1.14381962823551,1,1,1
400,70571,31438,2.24476747884725,1.85266860072381,1.21164005152905,1,1,1
400,72661,30529,2.38006485636608,1.85266860072381,1.284668426634,1,1,1
400,72289,29964,2.41252836737418,1.85266860072381,1.30219099434818,1,1,1
600,78450,29516,2.65788047160862,1.85266860072381,1.43462272236396,1,1,1
600,75498,30002,2.51643223785081,1.85266860072381,1.3582743491565,1,1,1
600,81996,30200,2.71509933774834,1.85266860072381,1.4655072886147,1,1,1
0,68709,38002,1.80803641913583,1.84590883598073,0.979483051325896,1,1,2
0,66321,37546,1.76639322431151,1.84590883598073,0.956923326808299,1,1,2
0,64243,32722,1.96329686449484,1.84590883598073,1.06359362186581,1,1,2
800,80419,27728,2.90028130409694,1.84590883598073,1.57119422561084,1,1,2
800,75718,26395,2.86864936541012,1.84590883598073,1.55405798460573,1,1,2
800,81204,28809,2.81870248880558,1.84590883598073,1.52699983545396,1,1,2
1000,84046,28846,2.9136102059211,1.84590883598073,1.57841500572974,1,1,2
1000,78840,27470,2.87004004368402,1.84590883598073,1.55481136865525,1,1,2
1000,80559,25674,3.13776583313858,1.84590883598073,1.69984875307859,1,1,2
1500,82391,28106,2.9314381270903,1.84590883598073,1.58807307812297,1,1,2
1500,91430,31703,2.88395419991799,1.84590883598073,1.56234920365704,1,1,2
1500,89131,29965,2.97450358751877,1.84590883598073,1.61140329876498,1,1,2
0,64868,38190,1.69855983241686,1.80469954411839,0.941187045762027,2,1,1
0,68238,37661,1.81190090544595,1.80469954411839,1.0039903380876,2,1,1
0,65567,34443,1.90363789449235,1.80469954411839,1.05482261615038,2,1,1
200,66233,35390,1.87151737779034,1.80469954411839,1.0370243533832,2,1,1
200,63654,32112,1.98224962630792,1.80469954411839,1.09838207294293,2,1,1
200,68175,35890,1.89955419336863,1.80469954411839,1.05255980119205,2,1,1
400,66417,30361,2.18757616679293,1.80469954411839,1.21215532741855,2,1,1
400,72845,31675,2.29976322020521,1.80469954411839,1.27431916725433,2,1,1
400,76412,35417,2.15749498828246,1.80469954411839,1.1954870800039,2,1,1
600,82610,32923,2.50918810557969,1.80469954411839,1.39036335092856,2,1,1
600,72322,27711,2.60986611814803,1.80469954411839,1.44614992930747,2,1,1
600,81646,30885,2.64354864821111,1.80469954411839,1.46481371751136,2,1,1
0,71854,40228,1.78616883762553,1.77459425124045,1.00652238469554,2,1,2
0,72842,39807,1.82987916698068,1.77459425124045,1.03115355282008,2,1,2
0,65618,38424,1.70773474911514,1.77459425124045,0.96232406248438,2,1,2
800,87899,30527,2.87938546204999,1.77459425124045,1.62255989505053,2,1,2
800,91571,30552,2.99721785807803,1.77459425124045,1.6889595218642,2,1,2
800,76925,27112,2.83730451460608,1.77459425124045,1.59884689845174,2,1,2
1000,84125,27957,3.00908538112101,1.77459425124045,1.69564697903064,2,1,2
1000,85457,32533,2.62677896289921,1.77459425124045,1.48021383539537,2,1,2
1000,95108,34836,2.73016419795614,1.77459425124045,1.53847235560903,2,1,2
1500,100589,33453,3.00687531760978,1.77459425124045,1.69440158814217,2,1,2
1500,97340,33883,2.87282708142726,1.77459425124045,1.61886418792304,2,1,2
1500,83102,27927,2.9756866115229,1.77459425124045,1.67682646860987,2,1,2
0,53638,34718,1.54496226741172,1.57440708463103,0.981297837448302,3,1,1
0,52040,34525,1.50731354091238,1.57440708463103,0.957384881982811,3,1,1
0,54152,32408,1.670945445569,1.57440708463103,1.06131728056889,3,1,1
200,55108,32790,1.68063433973773,1.57440708463103,1.06747127610366,3,1,1
200,56079,30942,1.81239092495637,1.57440708463103,1.15115775497232,3,1,1
200,55603,31893,1.74342332173204,1.57440708463103,1.10735230980024,3,1,1
400,56307,28426,1.98082741152466,1.57440708463103,1.25814183057292,3,1,1
400,57723,30928,1.86636704604242,1.57440708463103,1.18544121419513,3,1,1
400,58832,28129,2.09150698567315,1.57440708463103,1.32844104049703,3,1,1
600,61726,26975,2.28826691380908,1.57440708463103,1.45341502597808,3,1,1
600,68404,29056,2.35421255506608,1.57440708463103,1.49530104256219,3,1,1
600,65856,29167,2.25789419549491,1.57440708463103,1.434123498005,3,1,1
0,74363,43906,1.69368651209402,1.63897135526408,1.03338383959805,3,1,2
0,68246,41381,1.64921099055122,1.63897135526408,1.00624759868698,3,1,2
0,66902,42504,1.574016563147,1.63897135526408,0.96036856171497,3,1,2
800,81856,32851,2.491735411403,1.63897135526408,1.52030442960458,3,1,2
800,82959,33958,2.44298839743212,1.63897135526408,1.49056198547076,3,1,2
